	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	sALS_21	sALS_22	sALS_23	sALS_24	sALS_25	sALS_26	sALS_27	sALS_28	sALS_29	sALS_30	sALS_31	sALS_33	sALS_34	sALS_35	sALS_36	sALS_37	sALS_38	sALS_39	sALS_40	C9-Carrier_41	C9-Carrier_42	C9-Carrier_43	C9-Carrier_44	C9-Carrier_45	C9-Carrier_46	C9-Carrier_47	C9-Carrier_48	C9-Carrier_49	C9-Carrier_50	Control_51	C9-Patient_66	C9-Patient_67	C9-Patient_68	C9-Patient_69	C9-Patient_70	C9-Patient_71	C9-Patient_72	C9-Patient_73	C9-Patient_74	C9-Patient_75
Blood immune	54.18564	55.790800000000004	48.09338999999999	57.26625000000001	67.48396	54.26408000000001	55.63101	52.27339	50.90569000000001	60.299440000000004	53.33967	64.86662999999999	63.11154	55.78265999999999	50.61001	67.48187999999999	52.37478	46.95928	52.92215	71.21551000000001	43.81266	37.22618	51.87235	47.25631	45.42194	80.19175000000001	37.30858	53.463989999999995	59.11959	44.43233	46.11284	57.46483	44.24871999999999	53.73018	53.90663	56.988510000000005	50.18124	42.88106	52.738730000000004	49.292570000000005	55.13863	45.05185	41.22042999999999	56.577560000000005	53.629479999999994	55.490249999999996	52.916439999999994	53.727309999999996	58.136599999999994	45.03078	38.74244	55.85245000000001	49.050909999999995	47.83788	52.78457000000001	57.32014000000001	50.505219999999994	57.393530000000005	46.50379	46.709489999999995
Connective	4.51159	0.41790000000000005	5.6393699999999995	1.23943	0.0	4.12227	5.81063	5.37715999999999	1.6605600000000003	4.61925	1.30068	2.4032299999999998	0.38725	2.9169	2.1189400000000003	3.9792099999999997	3.14358	1.04818	5.15843	1.7901799999999999	2.61576	3.36266	1.96142	4.15365	4.54735	0.93046	3.98066	1.8931099999999998	1.8913099999999998	2.25276	6.8640099999999995	1.9207999999999998	5.32901	3.78422	2.4098100000000002	3.50508	3.9809799999999997	4.17507	4.4658999999999995	1.67481999999999	1.54787	4.579289999999999	3.1465	1.42581	3.31275	0.66812	3.42823	2.3243300000000002	0.0	1.7872	5.61473	3.9572999999999996	2.67808	3.77193	5.2218	4.34881	2.6779499999999903	4.3871899999999995	6.01002999999999	1.5125199999999899
Epithelium	5.57478	9.353580000000001	9.06466	6.979839999999999	7.4104	8.13842	6.66293	6.761590000000001	7.9376299999999995	5.81519	16.67786	7.378029999999999	10.6409	9.494710000000001	13.55274	10.154399999999999	8.24475	12.436160000000001	9.93419	2.27478	12.10374999999999	14.16236	6.7588	7.73567	10.310740000000001	3.27158	9.74963	9.99422	5.57158	8.68111	12.709480000000001	10.989879999999989	11.15866	4.92724	9.26621	5.40666	10.04811999999999	12.36261	10.134450000000001	7.33974	10.756409999999999	8.586030000000001	10.85713	6.06541	8.764909999999999	14.52272	12.006129999999999	11.60761999999999	9.97853	17.03756	10.94646	11.11712	8.62735	10.7455	8.88678	7.23449	10.11054	6.09100999999999	10.988190000000001	12.129819999999999
Other	17.80865	18.80404	20.28767	15.04386	11.89561999999999	17.989179999999998	19.40624	20.49897	19.85603	18.51222	12.99554	12.53862	17.27977	16.605349999999998	18.07781999999999	8.725319999999991	16.29524	18.55508	18.81025	14.044	21.8293	23.35842999999999	17.706019999999988	18.613950000000003	21.859079999999988	4.71438	27.09937	16.50808	15.72617	22.95801999999999	15.913530000000002	17.0141	23.87212	22.85839999999999	16.02113999999999	19.14268999999999	17.52439	24.71401999999999	17.38868	16.45872	18.68889	21.95711	25.1969	17.141369999999988	16.96646	13.97391	18.65106	18.43784	18.67821	19.8438	31.05178999999999	16.35398	22.12688	21.623639999999998	20.07016	15.30252	21.48112	16.72765	20.06186	19.12211
Sex-related	6.99301	4.3056	6.81094	7.94525	4.38027	7.01258	5.63439	9.972100000000001	7.70403	3.88096	6.35778	6.04446	2.71339	5.11224	8.31905	1.8679999999999999	12.792629999999999	5.885739999999999	4.45713	5.53468	5.33143	9.047789999999999	5.83197	9.52977	7.10218	4.23018	10.46748999999999	6.06949	5.53082	6.24587	8.14182	4.5706999999999995	4.9183200000000005	6.978229999999989	6.86017	6.181249999999991	7.71574	4.426270000000001	4.40673	7.53207	4.23562	10.76005	9.75105	8.25108	6.829789999999999	4.755800000000001	5.50155	3.4211599999999898	2.79884	7.52680999999999	5.92056	7.29774	6.70661	5.30599999999999	6.10009	6.16497	5.3917	6.23106	8.118409999999999	6.64768
Excitatory-Neurons	1.5785500000000001	1.3461	0.10744000000000001	3.1852699999999996	2.6566099999999997	3.55949	1.0942800000000001	0.0	1.23475	0.0	3.1260999999999997	2.52452	1.5717700000000001	1.2016	1.10907	3.1616199999999997	2.56785	0.01895	1.80465	0.6424799999999999	3.05297	1.70996	2.23175	4.91533	3.64827	1.47373	2.66261	3.8795499999999996	1.6085800000000001	0.0	4.43604	2.6099799999999997	3.01813	1.74008	0.0	3.05668	3.20128	3.73783	3.49717	3.04514	0.0	0.11088	2.70988	0.92715	1.3525	5.01391	0.35431999999999997	2.69067	3.1286500000000004	0.29797999999999997	1.85236	0.6722	1.6421100000000002	0.98726	0.38681000000000004	4.064170000000001	2.6256600000000003	4.76692	2.41248	3.55139
Muscle	4.80328	5.74619	8.90526	8.11629	3.2012199999999997	4.65229	5.00156999999999	2.5550900000000003	7.78011	6.557200000000001	5.86106	3.1796499999999996	2.22846	6.5168	4.8014	3.6289599999999997	3.88421	8.22041999999999	3.9802999999999997	2.13313	6.44926	6.744459999999999	7.74869	7.57325	5.7157800000000005	4.8004	7.23308	5.6669	6.67684	9.0718	5.47324	4.856669999999999	3.9625399999999997	5.46604	7.99352	5.27696	6.85264	6.55637	6.51171	9.84351	3.91042	7.25007	3.8789199999999897	6.83299	7.20239	4.29854	4.42021	6.72036	5.76661	4.57229	3.33962	2.73079	5.974419999999999	7.37295	4.75948999999999	5.28416	5.94721	3.86935	5.23782	9.097439999999999
Inhibitory-Neurons	1.77858	3.1636	1.09126	0.0	0.3922	0.0	0.75895	2.13537	1.28909	0.31576	0.0	0.0	0.29683000000000004	0.54858	1.34264	0.8697999999999999	0.0	2.33283	0.0	0.8246899999999999	0.0	3.12912	1.22872	0.0	0.0	0.0	1.49858	0.0	1.85296	3.3518600000000003	0.0	0.0	3.4925100000000002	0.34084	1.1855900000000001	0.0	0.49561	1.11641	0.85661	0.03773	0.71915	1.70473	0.0	2.5467899999999997	1.9417200000000001	0.0	1.78969	1.07071	1.51254	3.4861999999999997	0.93152	2.01842	0.75079	1.52373	1.52831	0.0	0.0	0.0	0.0	0.0
Non-Neuronal-Cells	2.76594	1.07218	0.0	0.22379000000000002	2.57971	0.26167	0.0	0.42630999999999997	1.63212	0.0	0.34132	1.0648600000000001	1.7701000000000002	1.8211600000000001	0.06835	0.13081	0.69695	4.543340000000001	2.93288	1.54053	4.80487	1.25904	4.6603	0.22207	1.39466	0.3875	0.0	2.52466	2.0221600000000004	3.00625	0.34903999999999996	0.5730500000000001	0.0	0.17479	2.35695	0.44219	0.0	0.03038	0.0	4.77572	5.00303	0.0	3.23918	0.23182	0.0	1.27676	0.93235	0.0	0.0	0.41738000000000003	1.6005200000000002	0.0	2.4428500000000004	0.83111	0.26198	0.28074	1.2606	0.53328	0.66742	1.2295800000000001
