annot.symbol,5,10,20,30,40,Original
PON1,0.0463573838287079,0.0049478115383149,5.484855263127784e-12,4.730812930714338e-14,9.763458707088952e-15,1.6958342870368175e-16
LMTK3,0.1516435254782444,0.0344155109972782,1.2885674140007486e-08,9.567673644435907e-10,4.677005497365823e-10,2.7032071483747524e-14
SLC17A3,0.1504555154691462,0.0455487470403787,3.5213000292468994e-08,2.03673742759775e-09,1.158876195050795e-09,3.2194524804751207e-10
SLC44A2,0.0016657438025386,0.0001016467405367,5.22438413615722e-21,2.5102763964552638e-24,8.084126829926245e-25,2.545515313578884e-33
WDR97,3.236261572535052e-10,2.3548209893155964e-14,4.342306851223368e-56,4.046483346063961e-64,7.296663971589918e-66,1.165184478575188e-73
SMIM24,0.278563164596851,0.098708178699138,1.3428559799660324e-06,1.2324894515400944e-07,4.458148449691197e-08,8.389250515506457e-12
ARHGAP45,2.8514081345107288e-05,4.735052100624534e-06,9.504739288334155e-25,1.5367966032630573e-33,2.9639657518677685e-36,2.9396964569136275e-41
MPL,7.70607474275749e-06,6.0750711580893195e-09,2.7159876960540983e-36,1.403113179991881e-42,3.8463520968971976e-45,1.7865469316576126e-67
GLB1L,0.0256620291569741,0.0024390429764857,1.5884472475777957e-13,3.0471395037407265e-15,1.3937840232122276e-15,1.52990558835863e-17
SEPTIN9,0.2000849574600116,0.0752829834971473,3.094841863517251e-07,1.4743989683587131e-08,7.631585453494874e-09,1.2548562325382028e-10
DTX2,0.2172019580543761,0.0705334399675032,1.047686478620781e-07,4.261252524848767e-08,2.7835131775632093e-08,7.751471470710487e-09
RXRA,0.0574859202473247,0.0152017633303498,7.748566898309886e-10,3.359524109106124e-12,1.04206355391047e-12,3.3925247999280377e-13
CARS2,0.1921486071929245,0.0828029439651836,3.8298261716701846e-07,4.992769681307708e-09,1.9116133563919757e-09,7.156492129547958e-12
PRPSAP1,0.254895264153185,0.1020231678727208,1.6717688885156917e-06,1.6448112465767958e-07,9.303344284589361e-08,5.841059186555036e-09
MTIF3,0.1257770705122821,0.03185448563897,2.812905660771913e-09,2.0069818636107407e-10,8.808142998399038e-11,4.498811977456858e-12
STK11,0.050685092476816,0.007058794157384,1.462684469452181e-11,1.2029611599896611e-14,9.62506634161347e-16,6.481779128894603e-18
SUMO1P1,0.1134192999231829,0.0249531652466166,4.420338665279656e-09,8.129674682875612e-11,3.587749366673512e-11,1.8389378559954748e-12
CACNA2D4,0.0270501038426756,0.0019489353920799,1.280921061432171e-13,4.1919455240217364e-17,2.700237886396961e-18,1.4595951475668565e-21
