,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,sALS_21,sALS_22,sALS_23,sALS_24,sALS_25,sALS_26,sALS_27,sALS_28,sALS_29,sALS_30,sALS_31,sALS_33,sALS_34,sALS_35,sALS_36,sALS_37,sALS_38,sALS_39,sALS_40,C9-Carrier_41,C9-Carrier_42,C9-Carrier_43,C9-Carrier_44,C9-Carrier_45,C9-Carrier_46,C9-Carrier_47,C9-Carrier_48,C9-Carrier_49,C9-Carrier_50,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
Blood immune,0.39370439999999995,0.40672469999999994,0.3599923,0.46281230000000007,0.5023517,0.40744430000000004,0.4655237,0.410468,0.44458949999999997,0.4552702,0.3740855,0.49166160000000003,0.46647760000000005,0.447168,0.39922749999999996,0.5515410999999999,0.37081109999999995,0.3897233,0.46614279999999997,0.5571246,0.39728739999999996,0.356964,0.40887229999999997,0.3986147,0.3937064,0.7110964,0.35821780000000003,0.4076403,0.4022711,0.3802899,0.4939055,0.5119824,0.38847489999999996,0.4815596,0.4282608,0.513349,0.41586389999999995,0.4054066,0.42765980000000003,0.36691399999999996,0.41960800000000004,0.3231152,0.3412201,0.4415524,0.3680744,0.42938909999999997,0.3798845,0.4337322,0.4723138,0.3631027,0.2937514,0.49520490000000006,0.40478749999999997,0.3583708,0.3779272,0.4556319,0.4223428,0.43900459999999997,0.3785936,0.35196859999999996
Connective,0.0530357,0.041929499999999995,0.0577124,0.0632089,0.0426181,0.0350786,0.0731498,0.0583556,0.0745712,0.0696186,0.0652475,0.06416440000000001,0.0675143,0.080595,0.0437984,0.041586,0.0374219,0.0358953,0.0573413,0.0324536,0.0629728,0.09117229999999998,0.0490594,0.080818,0.0482949,0.0302439,0.0931494,0.0610488,0.05294890000000001,0.0463812,0.09191730000000001,0.0880604,0.0730123,0.060215,0.0668835,0.052956,0.0617176,0.0637515,0.0835192,0.08149790000000001,0.0526521,0.055954199999999996,0.07719519999999999,0.0486491,0.0605908,0.0420847,0.0549611,0.0644005,0.0513865,0.0698009,0.050808,0.0570547,0.0549109,0.0600434,0.05687640000000001,0.0632123,0.0649623,0.0691139,0.0543377,0.0632163
Epithelium,0.1642424,0.1562556,0.16687659999999999,0.0945181,0.1658604,0.15298489999999998,0.1389495,0.16767379999999998,0.1268406,0.1437968,0.19439309999999999,0.10327410000000001,0.13523770000000002,0.1460807,0.16236119999999998,0.11619270000000001,0.2323347,0.1359594,0.116512,0.09429989999999999,0.162667,0.16856870000000002,0.15880719999999998,0.1356588,0.1529971,0.0453597,0.1097002,0.1559305,0.1454105,0.138451,0.13019759999999997,0.0965535,0.1374444,0.09374210000000001,0.15664440000000002,0.1110117,0.16064430000000002,0.1510494,0.1473653,0.1602917,0.1237592,0.2093532,0.1345344,0.1130452,0.1296934,0.15608070000000002,0.1507386,0.1293233,0.1532321,0.1311463,0.149564,0.115589,0.12485170000000001,0.1621738,0.1704058,0.1403086,0.12789999999999999,0.13175509999999999,0.1778906,0.1558952
Other,0.2207199,0.19587699999999997,0.20819979999999996,0.20478149999999998,0.12797450000000002,0.2026327,0.1746663,0.20036290000000004,0.20325,0.16146249999999998,0.19701499999999997,0.15596959999999999,0.1673991,0.1731005,0.23031089999999999,0.1430866,0.19294360000000002,0.2364149,0.1479571,0.1650588,0.1915406,0.19265880000000002,0.20316,0.2019819,0.2040342,0.0867148,0.2649991,0.1740604,0.19740829999999998,0.21220909999999998,0.1605996,0.1623599,0.23311980000000004,0.1978534,0.1883575,0.14005939999999997,0.17691600000000002,0.20363269999999997,0.1976736,0.1901463,0.1720636,0.254259,0.2188695,0.1950578,0.2333204,0.18889779999999998,0.20183940000000003,0.20527399999999998,0.1782732,0.2409943,0.3290349,0.1681294,0.2172568,0.2011628,0.1909608,0.1432115,0.1823186,0.16544290000000003,0.1885857,0.2445369
Sex-related,0.0890495,0.0854115,0.0858173,0.0798083,0.08656309999999999,0.11444119999999999,0.0749094,0.085633,0.0751678,0.0924596,0.0713779,0.0723322,0.09555129999999999,0.08417079999999999,0.0953587,0.0770715,0.07639359999999999,0.09229269999999999,0.0844749,0.0576244,0.098527,0.10498070000000001,0.08893219999999999,0.0930673,0.1028693,0.0677733,0.07563320000000001,0.0916084,0.1190938,0.1038394,0.06585429999999999,0.0730217,0.07099280000000001,0.1013318,0.094699,0.096744,0.1035366,0.0950784,0.0790598,0.10085809999999999,0.086128,0.09807769999999999,0.128976,0.1077837,0.10427800000000001,0.0883166,0.11203590000000001,0.11182479999999999,0.0734897,0.0894146,0.0891941,0.0755122,0.10343399999999998,0.0974666,0.09809259999999999,0.1026146,0.0889173,0.0946303,0.09685310000000001,0.08050750000000001
Neural,0.031684199999999996,0.044524400000000006,0.0525503,0.0351196,0.033527299999999996,0.0477796,0.0340436,0.0268417,0.0313294,0.027147499999999998,0.0421449,0.070629,0.039580699999999996,0.0328932,0.022439300000000002,0.030810300000000002,0.0522744,0.0442264,0.0624422,0.0500475,0.0361354,0.0514154,0.0492335,0.0482147,0.0472686,0.0397526,0.0495875,0.06810089999999999,0.0414886,0.0575827,0.0305909,0.0365165,0.053951799999999994,0.0131632,0.0137688,0.0470736,0.0387532,0.0376231,0.0229139,0.057402800000000004,0.0965007,0.0135284,0.053470199999999996,0.0368252,0.046149800000000005,0.0570967,0.0520674,0.0089627,0.0202876,0.054085499999999995,0.038264099999999995,0.0362364,0.0456752,0.0631264,0.042643299999999995,0.0557205,0.0522889,0.0451222,0.0513875,0.0429436
Muscle,0.0475641,0.0692774,0.0688512,0.0597512,0.041105100000000006,0.039638599999999996,0.0387575,0.050665100000000005,0.0442515,0.0502451,0.0557361,0.0419691,0.028239100000000003,0.0359917,0.046504000000000004,0.039712,0.0378208,0.065488,0.06512960000000001,0.043391,0.05087,0.0342403,0.0419355,0.041644600000000004,0.0508294,0.0190593,0.0487127,0.0416107,0.041378700000000004,0.0612469,0.0269349,0.0315057,0.0430039,0.052134799999999995,0.051386,0.0388066,0.0425683,0.0434582,0.041808700000000004,0.0428892,0.0492885,0.0457123,0.0457346,0.0570866,0.057893200000000006,0.0381345,0.048472799999999996,0.0464824,0.0510171,0.0514559,0.0493837,0.0522734,0.049083600000000005,0.0576561,0.0630939,0.0393008,0.061270000000000005,0.0549308,0.052351800000000004,0.0609316
